,backbone,mono_subs,di_subs
30,*C1([H])C([H])([H])*C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[30*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],[10*]C(=O)OC([H])([H])C([10*])([H])[H]
31,*C(=S)c1c(*)c([H])c2c([H])c([H])c([H])c([H])c2c1[H],[7*][H],[43*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[43*]
32,*C([H])=C(*)C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[24*]C([H])([H])[H],[27*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[27*])(C([H])([H])[H])C([H])([H])[H]
33,[H]c1c([H])c([H])c(C2=**C3([H])*(*2)C2([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],[15*]C(=O)c1c([H])c([H])c([H])c([H])c1[H],[23*]c1c([H])c([H])c([H])c([H])c1Oc1c([23*])c([H])c([H])c([H])c1[H]
34,[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c21,[47*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],[21*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[21*])(C([H])([H])[H])C([H])([H])[H]
35,[H]C1=C([H])*C([H])=C([H])*1,[22*][O-],[26*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[26*]
36,**C1([H])*C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C12C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],[16*]O[H],[24*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([24*])(C([H])([H])[H])C([H])([H])[H]
37,*c1c(F)c([H])c([H])c([H])c1C(*)([H])[H],[6*]C([H])([H])c1c([H])c([H])c([H])c([H])c1Br,[31*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[31*])(C([H])([H])[H])C([H])([H])[H]
38,[H]c1c([H])c([H])c2c(c1[H])-c1c(c([H])c3c4c1c1c([H])c([H])c([H])c([H])c1n4-c1c([H])c([H])c([H])c4c1B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c5n-4c13)C2(C([H])([H])[H])C([H])([H])[H],[14*]c1c([H])c([H])c(F)c([H])c1[H],[23*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([23*])(C([H])([H])[H])C([H])([H])[H]
39,**1C(=*)c2c([H])c([H])c([H])c3c([H])c([H])c([H])c1c23,[36*]c1c([H])c([H])c([H])c([H])c1[H],[5*]OC([H])(C(OC([H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H])C([H])(O[5*])C(OC([H])([H])[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
40,[H]c1c([H])c2c3c(c1[H])-n1c4c([H])c([H])c([H])c([H])c4c4c([H])c([H])c([H])c(c41)B3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1O2,[8*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],[19*]c1c([H])c([H])c([H])c([H])c1Sc1c([19*])c([H])c([H])c([H])c1[H]
41,*C(=O)c1c(*)c(C(*)=O)c([H])c([H])c1[H],[3*]C([H])([H])C([H])([H])C([H])([H])[H],[15*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([15*])([H])C([H])([H])C([H])([H])C1([H])[H]
42,[H]C12*C(=O)O*1C1([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])[H],[20*]P(=O)(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H],[16*]c([H])c(C([H])=O)c1c([H])c([H])c([H])c([H])c1[16*]
43,*C([H])(c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1[H])C1(*)C([H])([H])C1([H])[H],[14*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[17*]c1c([H])c([H])c([H])c([H])c1C(c1c([17*])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
44,[H]c1c([H])c2c3c(c1[H])Oc1c([H])c([H])c([H])c4c1*3c1c(c([H])c([H])c([H])c1O4)*2,[5*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[45*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[45*])(C([H])([H])[H])C([H])([H])[H]
45,**C(=*)[H],[5*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[2*]OC1(C([H])([H])[H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)C1(O[2*])C([H])([H])[H]
46,*-c1c([H])c(-*)c2c3c1Oc1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1O2,[8*]c1c(F)c(F)c(F)c(F)c1F,[17*]c1c([H])c([H])c([H])c([H])c1Oc1c([17*])c([H])c([H])c([H])c1[H]
47,*C1([H])*c2c([H])c(Br)c([H])c([H])c2C1([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],[5*]C(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[55*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[55*]
