,backbone,mono_subs,di_subs
149,*c1c([H])c([H])c2c(c1[H])*1c3c([H])c(*)c([H])c([H])c3Oc3c([H])c([H])c([H])c(c31)O2,[7*]C([H])([H])C([H])=C([H])[H],[14*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([14*])([H])C([H])([H])C([H])([H])C1([H])[H]
150,*c1*c([H])*c1I,[15*]c1c(-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c([H])c([H])c1-c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[12*]OC([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])(O[12*])c1c([H])c([H])c([H])c([H])c1[H]
151,*c1c([H])c2c3c(c1[H])-*1c4c([H])c(-c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5[H])c([H])c([H])c4c4c([H])c([H])c(-c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5[H])c(c14)*3c1c(-c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c([H])c([H])c3c1*-2c1c([H])c(-c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c([H])c([H])c13,[5*]S(=O)(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],[9*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([9*])(C([H])([H])[H])C([H])([H])[H]
152,*C1([H])C([H])([H])*C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],[6*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[3*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[3*])(C([H])([H])[H])C([H])([H])[H]
153,*C1=C([H])C([H])([H])C([H])([H])OC([H])(c2c([H])c([H])c([H])c([H])c2[H])c2oc3c([H])c([H])c([H])c([H])c3c2*C1([H])[H],[6*]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[40*]c1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1-c1c([40*])c([H])c([H])c([H])c1[H]
154,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3-c3c([H])c([H])c(-c4c([H])c5c6c(c4[H])-n4c7c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c7c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c74)B6c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c7n-5c46)c([H])c32)c([H])c1[H],[14*]c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1C([H])([H])[H],[21*]C([H])([H])c1c(C([H])([H])C([21*])([H])[H])sc([H])c1[H]
155,*c1c([H])*c(-c2c([H])c([H])c([H])c([H])c2-c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c1[H],[1*]C([H])([H])c1c2c([H])c([H])c([H])c([H])c2c([H])c2c([H])c([H])c([H])c([H])c12,[30*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[30*]
156,*c1c([H])*c2c([H])c([H])c([H])c([H])c12,[31*][H],[27*]c1c([H])c([H])c([H])c([H])c1Sc1c([27*])c([H])c([H])c([H])c1[H]
157,*C(*)(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[1*]C([H])([H])c1c2c([H])c([H])c([H])c([H])c2c(Br)c2c([H])c([H])c([H])c([H])c12,[9*]c1c([H])c([H])c([H])c([H])c1C(c1c([9*])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H]
158,*c1*:*c(C(F)(F)F)c1Br,[11*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[8*]c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])c1c([8*])c([H])c([H])c([H])c1[H]
159,*C(=O)Oc1c([H])c(*)c(*)c([H])c1[H],[11*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[2*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[2*]
160,*C([H])=C(*)C([H])([H])C([H])=C([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[5*]C#Cc1c([H])c([H])c([H])c([H])c1[H],[17*]c1c([H])c([H])c([H])c([H])c1Sc1c([17*])c([H])c([H])c([H])c1[H]
161,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c(-c4c([H])c5c6c(c4[H])-n4c7c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c7c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c74)B6c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c7c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c7n-5c46)c([H])c([H])c3-n3c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c43)c([H])c1[H],[13*]=C([H])c1c(O[H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,[13*]c1c([H])c([H])c([H])c([H])c1Oc1c([13*])c([H])c([H])c([H])c1[H]
162,*c1c(*)c([H])c([H])c([H])c1[H],[15*][H],[14*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[14*])(C([H])([H])[H])C([H])([H])[H]
163,*C1([H])*c2c([H])c([H])c([H])c([H])c2C1([H])c1c([H])c([H])c([H])c([H])c1[H],[1*]S(=O)(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],[4*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[4*])(C([H])([H])[H])C([H])([H])[H]
164,[H]C(C1=C(c2c([H])c([H])c([H])c([H])c2[H])*C([H])([H])*1)=C([H])c1c([H])c([H])c([H])c([H])c1[H],[11*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,[8*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[8*])(C([H])([H])[H])C([H])([H])[H]
165,*c1*:*c([H])c1Cl,[9*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],[49*]c1c([H])c([H])c([H])c([H])c1P(=O)(c1c([49*])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
166,*C(=C(*)[Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H],[10*]c1c([H])c([H])c2oc3c([H])c([H])c([H])c([H])c3c2c1[H],[15*]Oc1c([H])c([H])c([H])c([H])c1O[15*]
167,*C(*)=C(*)*,[4*]c1c([H])c([H])c([H])c([H])c1[H],[26*]C([H])([H])C([H])([H])OC([H])([H])C([26*])([H])[H]
168,*C(=O)c1c(*)c([H])c(C(*)=O)c([H])c1[H],[12*]C([H])([H])[H],[26*]OC(C([H])([H])[H])(C([H])([H])[H])C(O[26*])(C([H])([H])[H])C([H])([H])[H]
169,*C1([H])C([H])([H])*C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C1([H])[H],[20*]C([H])([H])[H],[28*]c1c([H])c([H])c([H])c([H])c1c1c([H])c([H])c([H])c([H])c1[28*]
170,*C1([H])c2c([H])c(F)c([H])c([H])c2*C1([H])C([H])([H])[H],[35*][H],
171,*c1c([H])c([*+])c([H])c([H])c1[H],[16*]C([H])([H])[H],
172,**(*)C(*)=O,[16*][O-],
173,*C1([H])C([H])([H])*C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],[9*]C([H])([H])[H],
174,*c1*c(F)c(F)c(F)c1F,[20*]O[H],
175,*c1*c(C(=O)OC([H])([H])C([H])([H])[H])c(C([H])([H])[H])c1C([H])([H])[H],[20*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
176,[H]c1*c2c([H])c([H])c([H])c([H])c2c2c1*c1c([H])c([H])c([H])c3c([H])c([H])c([H])c-2c13,[30*]C([H])([H])[H],
177,[H]c1c([H])c2c3c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c([H])c([H])c([H])c4c1*3c1c(c([H])c([H])c([H])c1C4(C([H])([H])[H])C([H])([H])[H])*2,[10*]S(=O)(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
178,*c1c([H])c([H])c([H])c2*c([H])c([H])c12,[22*]=O,
179,*c1c([H])c([H])c2c(c1[H])*1*c3c([H])c([H])c([H])c([H])c3C([H])=C1C(c1c([H])c([H])c([H])c([H])c1[H])=C2c1c([H])c([H])c([H])c([H])c1[H],[27*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],
180,[H]c1sc(C2=*O**2)c([H])c1[H],[24*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],
181,*C1=C(*)P(c2c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=C([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])*1,[19*]C([H])([H])[H],
182,*c1*c([H])c(F)c1F,[10*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
183,[H]C1=C(c2c([H])c([H])c([H])c([H])c2[H])*C([H])([H])*1,[2*]c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,
184,*C1([H])C([H])(C(=O)c2c([H])c([H])c([H])c([H])c2[H])*OC1([H])C(=O)OC([H])([H])[H],[31*]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],
185,*c1c([H])c2c3c(c1[H])*c1c(oc4c([H])c([H])c([H])c([H])c14)*3c1oc3c([H])c([H])c([H])c([H])c3c1*2,[6*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
186,*c1c([H])c([H])c([H])c([H])c1C([H])([H])*C1([H])*(C([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])c2c([H])c([H])c([H])c([H])c2[H])C(=O)c2c([H])c([H])c([H])c([H])c21,[19*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
187,[H]c1c([H])c2c3c(c1[H])N1c4c([H])c([H])c([H])c([H])c4[Si](C([H])([H])[H])(C([H])([H])[H])c4c([H])c([H])c([H])c(c41)B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1[Si]3(C([H])([H])[H])C([H])([H])[H],[32*]c1c([H])c([H])c([H])c([H])c1[H],
188,*c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c14)*3c1c([H])c([H])c([H])c3c1*-2c1c([H])c([H])c([H])c([H])c13,[17*]C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
189,**1C(=C([H])[H])C([H])([H])*C([H])([H])C1=C([H])[H],[36*]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
190,*C1([H])C([H])([H])*C([H])([H])C1([H])[H],[12*]C([H])=C([H])[H],
191,**1C(=*)c2c([H])c([H])c([H])c([H])c21,[9*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,
192,*C1([H])c2c([H])c([H])c([H])c([H])c2*C1(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],[5*]C([H])(C([H])([H])[H])C([H])([H])[H],
193,*C([H])([H])C(*)([H])C([H])([H])C([H])([H])C([H])([H])Cl,[21*][H],
194,*=C(P=C=O)*1*C([H])=C([H])*1,[5*]P1(=O)C([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])c1c([H])c([H])c([H])c([H])c1[H],
195,*c1*c2*c([H])*c(-c3c([H])c([H])c([H])c([H])c3[H])c2c1[H],[9*]=C([H])c1c([H])c(I)c([H])c(I)c1O[H],
196,*c1*:*c(C(F)(F)F)c1[H],[13*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
197,*C1([H])C([H])([H])c2c([H])c(OC([H])([H])[H])c([H])c([H])c2*C1([H])c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],[17*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
198,*c1c([H])c([H])c([H])c([H])c1-c1*:*:*c1[H],[10*][Si](c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],
199,**C(=*)c1c([H])c([H])c([H])c([H])c1[H],[24*][H],
200,*c1c(*)c([H])c([H])c([H])c1*,[17*]c1c([H])c([H])c([H])c([H])c1[H],
201,*c1c([H])c([H])c([H])c([H])c1C1([H])*C(=O)*C(C([H])([H])[H])=C1C(=O)OC([H])([H])C([H])([H])[H],[7*]S(=O)(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])nc12,
202,*C1=C(c2c([H])c([H])c([H])c([H])c2[H])*c2c([H])c([H])c([H])c3c([H])c([H])c([H])c1c23,[8*]c1c([H])c([H])c([H])c([H])c1[H],
203,*C(*)([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],[3*]C([H])([H])[H],
204,*c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c14)*3c1c([H])c(C([H])([H])[H])c([H])c([H])c1*2,[25*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
205,*C([H])([H])C(*)([H])C([H])([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,[6*]C([H])([H])c1c2c([H])c([H])c([H])c([H])c2c([H])c2c([H])c([H])c([H])c([H])c12,
206,*C1([H])**c2c([H])c([H])c([H])c([H])c21,[11*]C([H])([H])C#C[H],
207,*C1([H])C([H])([H])*c2c([H])c(C(F)(F)F)c([H])c([H])c2C1([H])[H],[25*]O[H],
208,*C([H])=C(*)C([H])([H])C([H])=C([H])c1c([H])c([H])c([H])c([H])c1[H],[2*]c1c([H])c([H])c(C(F)(F)F)c([H])c1[H],
209,*C([H])(c1c([H])c([H])c([H])c([H])c1[H])C1(*)C([H])([H])C1([H])[H],[22*]O[H],
210,[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c([H])c3c1B2c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-3c12,[4*]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],
211,*c1c([H])*c2c([H])c([H])c([H])c(F)c12,[27*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,
212,[H]c1c([H])c([H])c2c(c1[H])Oc1c([H])c([H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c21,[18*]c1c(C(F)(F)F)c([H])c(C(F)(F)F)c([H])c1C(F)(F)F,
213,[H]C1([H])**C(=O)C(C([H])([H])[H])(C([H])([H])[H])C(=O)*1,[10*]C([H])([H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],
214,*c1c([H])*c(C(F)(F)F)c([H])c1[H],[6*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
215,*C(=O)*C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1(*)c1c([H])c([H])c([H])c([H])c1[H],[9*]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
216,*c1c([H])c([H])c([H])c2c([H])c([H])*c12,[17*][H],
217,**C(=*)P(c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H])c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],[18*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
218,*C1([H])C([H])([H])*C([H])([H])C([H])([H])C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[8*]S(=O)(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
219,*C1([H])O*c2c(C([H])=O)c([H])c([H])c([H])c21,[15*]c1c([H])c([H])c([H])c([H])c1[H],
220,*c1c([H])*c(Br)c([H])c1[H],[21*]O[H],
221,*c1c([H])c([H])c([H])c2c1Oc1c([H])c([H])c([H])c3c1*2c1c([H])c([H])c([H])c(*)c1O3,[30*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
222,*c1c([H])*c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])*c1[H],[19*]c1c(C([H])([H])[H])c([H])c([H])c([H])c1C([H])([H])[H],
223,*C1([H])C(*)([H])C([H])([H])C1([H])[H],[21*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
224,[H]C1([H])**2C([H])(*C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])[H],[4*]S(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
225,[H]c1c([H])c([H])c2c(c1[H])Sc1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c2c1B3c1c([H])c([H])c([H])c3c1N2c1c([H])c([H])c([H])c([H])c1C3(C([H])([H])[H])C([H])([H])[H],[1*]C([H])([H])[H],
226,*C1(c2c([H])c([H])c([H])c([H])c2[H])*c2c([H])c([H])c([H])c([H])c2C1([H])C([H])(C#C[H])c1c([H])c([H])c([H])c([H])c1[H],[6*]S(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
227,[H]C([H])([H])C([H])([H])C1([H])*C([H])([H])C([H])(C([H])([H])[H])*1,[28*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
228,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c1C21c2c([H])c([H])c([H])c([H])c2C([H])([H])c2c([H])c([H])c([H])c([H])c21,[9*]C([H])([H])c1c([H])c([H])c([H])c([H])c1Cl,
229,*C([H])([H])C(*)([H])[H],[14*]c1c([H])c([H])c([H])c([H])c1[H],
230,[H]C1=C(c2*c(-c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])**C(c2c([H])c([H])c([H])c([H])c2[H])=C1[H],[9*]P(=O)(c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1C([H])([H])[H],
231,[H]C1=C([H])*C2([H])*(*1)C1([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])[H],[24*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],
232,[H]Oc1c([H])c2c(c([H])c1Cl)C1(OC(=O)c3c([H])c([H])c([H])c([H])c31)c1c([H])c(Cl)c3c(c1O2)C([H])([H])*C([H])([H])c1c([H])c([H])c([H])c([H])c1*O3,[10*]c1c(F)c([H])c([H])c([H])c1F,
233,[H]c1*c2c([H])c([H])c([H])c3c2c1*1c2c(c([H])c([H])c(C([H])([H])[H])c2-3)-c2c([H])c([H])c([H])c3c([H])c([H])c([H])c1c23,[3*]c1c(F)c(F)c(F)c(F)c1F,
234,*c1c([*+])c([H])c(*)c([H])c1[H],[10*]C([H])([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,
235,*C1([H])C([H])([H])*c2c([H])c([H])c([H])c([H])c2C1([H])C([H])([H])[H],*[H],
236,*c1c([H])c2c3c(c([H])c([H])c4c3c1C(=O)*C4=O)C(=O)*C2=O,[11*]C([H])(C([H])([H])[H])C([H])([H])[H],
237,[H]c1c([H])c([H])c2c(c1[H])c1c([H])c3c4c(c1c1c2c([H])c2c5c([H])c([H])c([H])c([H])c5n5c6c([H])c([H])c([H])c([H])c6c1c25)-n1c2c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c21)B4c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c4n-3c12,[17*]C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],
238,*c1c([H])*:*(S(*)(=O)=O)c1[H],[16*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
239,*c1c([H])*c2c(C([H])([H])[H])c([H])c([H])c([H])c12,[30*][H],
240,*c1c(*)c([H])c([H])c(*)c1[H],[18*]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H],
241,*C([H])([H])C(*)([H])c1c([H])c([H])c([H])c([H])c1[H],[16*]C([H])(C([H])([H])[H])C([H])([H])[H],
242,[H]c1c([H])c2c3c(c1[H])-n1c4c([H])c(-c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5[H])c([H])c([H])c4c4c([H])c([H])c(-c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5[H])c(c41)B3c1c(-c3c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c([H])c([H])c3c4c([H])c([H])c(-c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5[H])c([H])c4n-2c13,[16*]Cl,
243,*C(*)([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],[13*]c1c([H])c([H])c([H])c(Cl)c1Cl,
244,[H]c1c([H])c([H])c2c(c1[H])C(=O)c1c([H])c([H])c([H])c([H])c1C21c2c([H])c([H])c([H])c([H])c2-c2c([H])c([H])c([H])c(-c3c([H])c4c5c(c3[H])-n3c6c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c6c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c63)B5c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c6c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c6n-4c35)c21,[9*][O-],
245,*C([H])=C(*)C([H])([H])C([H])=C([H])C(=C([H])[H])C([H])([H])[H],[14*]C(=O)c1c([H])c(Cl)c(Cl)c(Cl)c1Cl,
246,*c1c([H])*c(OC([H])([H])[H])c(S(*)(=O)=O)c1[H],[29*]=O,
247,*c1c([H])c2c3c(c1[H])-*1c4c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c4c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c14)*3c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1O2,[29*][O-],
248,*C1([H])C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])C([H])([H])*2C(=O)c3c([H])c([H])c([H])c([H])c3C21[H],[18*][O-],
249,[H]c1nc(-c2c([H])c3c4c(c2[H])-n2c5c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c5c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(c52)B4c2c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c4c5c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c5n-3c24)c([H])c([H])c1[H],[2*]C([H])([H])C([H])([H])[H],
250,[H]c1c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c2c(c1[H])C([H])(C([H])([H])[H])C([H])([H])*C1([H])*2C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H],[4*]C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
251,[H]c1c([H])c([H])c2c(c1[H])**1:*-2c(=O)*c1=O,[53*]c1c([H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],
252,*c1c([H])c([*+])c(C2([H])C(C(=O)OC([H])([H])[H])=C(C([H])([H])[H])*C(C([H])([H])[H])=C2C(=O)OC([H])([H])[H])c([H])c1[H],[10*]c1c([H])c([H])c(Br)c([H])c1[H],
253,[H]c1c([H])c2c3c(c1[H])-n1c4c([H])c([H])c([H])c([H])c4c(=O)c4c([H])c([H])c([H])c(c41)B3c1c([H])c([H])c([H])c3c(=O)c4c([H])c([H])c([H])c([H])c4n-2c13,[4*]C(=O)OC([H])([H])[H],
254,*C1([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2*C1([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,[16*]c1c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],
